Freq	Vx1	Vx2	Vin1	Vin2
0	-1.42	-1.36	0.2155	6.64
25.2	0.07	0.112	4.78	7.88
32.7	0.09	0.12	5.24	7.88
54.95	0.1	0.164	4.36	7.92
93.4	0.144	0.248	4.4	7.92
121.3	0.17	0.308	4.36	7.88
157.3	0.22	0.396	4.24	7.88
202	0.31	0.54	4.24	7.88
265	0.4	0.68	4.32	7.88
345	0.49	0.87	4.28	7.88
450	0.61	1.06	4.32	7.88
588.2	0.75	1.35	4.28	7.86
760	0.91	1.65	4.32	7.9
990	1.06	2	4.32	7.92
1286	1.28	2.32	4.4	8
1660	1.4	2.62	4.32	8
2170	1.58	2.88	4.4	8.08
2820	1.66	3.06	4.4	8.08
3650	1.74	3.2	4.4	8.08
36300	1.86	3.36	4.5	8.16
361660	1.48	2.66	4.24	7.52
1037000	0.64	1.18	3.12	5.8
2181000	0.24	0.42	2.16	3.64
10110	1.82	3.34	4.4	8.08
5070	1.78	3.28	4.4	8.08
8110	1.78	3.34	4.4	8.08
13080	1.98	3.38	4.8	8.08
18210	1.84	3.44	4.32	8.08
105260	1.8	3.32	4.4	8.08
150370	1.72	3.24	4.28	8
39.51	0.08	0.128	4.12	7.76
69	0.116	0.184	4.24	7.68
