  Frequency             V(V4:+,V4:-)          V(R2:1,V4:-)          V(R2:2,V3:-)         
  1.000000000000e+00  5.000000000000e+00  2.462150088871e-02  4.909370897733e+00  
  1.002305238078e+00  5.000000000000e+00  2.462174233105e-02  4.909370890609e+00  
  1.004615790278e+00  5.000000000000e+00  2.462198488544e-02  4.909370883451e+00  
  1.006931668852e+00  5.000000000000e+00  2.462222855701e-02  4.909370876260e+00  
  1.009252886077e+00  5.000000000000e+00  2.462247335089e-02  4.909370869036e+00  
  1.011579454260e+00  5.000000000000e+00  2.462271927223e-02  4.909370861779e+00  
  1.013911385737e+00  5.000000000000e+00  2.462296632622e-02  4.909370854488e+00  
  1.016248692871e+00  5.000000000000e+00  2.462321451806e-02  4.909370847163e+00  
  1.018591388054e+00  5.000000000000e+00  2.462346385298e-02  4.909370839805e+00  
  1.020939483708e+00  5.000000000000e+00  2.462371433624e-02  4.909370832413e+00  
  1.023292992281e+00  5.000000000000e+00  2.462396597311e-02  4.909370824986e+00  
  1.025651926251e+00  5.000000000000e+00  2.462421876889e-02  4.909370817526e+00  
  1.028016298126e+00  5.000000000000e+00  2.462447272890e-02  4.909370810030e+00  
  1.030386120442e+00  5.000000000000e+00  2.462472785851e-02  4.909370802501e+00  
  1.032761405761e+00  5.000000000000e+00  2.462498416307e-02  4.909370794936e+00  
  1.035142166679e+00  5.000000000000e+00  2.462524164800e-02  4.909370787337e+00  
  1.037528415818e+00  5.000000000000e+00  2.462550031870e-02  4.909370779702e+00  
  1.039920165829e+00  5.000000000000e+00  2.462576018065e-02  4.909370772033e+00  
  1.042317429393e+00  5.000000000000e+00  2.462602123929e-02  4.909370764328e+00  
  1.044720219221e+00  5.000000000000e+00  2.462628350014e-02  4.909370756587e+00  
  1.047128548051e+00  5.000000000000e+00  2.462654696872e-02  4.909370748811e+00  
  1.049542428652e+00  5.000000000000e+00  2.462681165058e-02  4.909370740998e+00  
  1.051961873823e+00  5.000000000000e+00  2.462707755128e-02  4.909370733150e+00  
  1.054386896391e+00  5.000000000000e+00  2.462734467643e-02  4.909370725265e+00  
  1.056817509214e+00  5.000000000000e+00  2.462761303166e-02  4.909370717345e+00  
  1.059253725177e+00  5.000000000000e+00  2.462788262261e-02  4.909370709387e+00  
  1.061695557199e+00  5.000000000000e+00  2.462815345497e-02  4.909370701393e+00  
  1.064143018224e+00  5.000000000000e+00  2.462842553443e-02  4.909370693362e+00  
  1.066596121230e+00  5.000000000000e+00  2.462869886672e-02  4.909370685293e+00  
  1.069054879223e+00  5.000000000000e+00  2.462897345760e-02  4.909370677188e+00  
  1.071519305238e+00  5.000000000000e+00  2.462924931285e-02  4.909370669045e+00  
  1.073989412341e+00  5.000000000000e+00  2.462952643828e-02  4.909370660865e+00  
  1.076465213630e+00  5.000000000000e+00  2.462980483971e-02  4.909370652646e+00  
  1.078946722230e+00  5.000000000000e+00  2.463008452302e-02  4.909370644390e+00  
  1.081433951298e+00  5.000000000000e+00  2.463036549410e-02  4.909370636096e+00  
  1.083926914021e+00  5.000000000000e+00  2.463064775884e-02  4.909370627763e+00  
  1.086425623617e+00  5.000000000000e+00  2.463093132320e-02  4.909370619392e+00  
  1.088930093333e+00  5.000000000000e+00  2.463121619315e-02  4.909370610983e+00  
  1.091440336449e+00  5.000000000000e+00  2.463150237467e-02  4.909370602534e+00  
  1.093956366272e+00  5.000000000000e+00  2.463178987380e-02  4.909370594047e+00  
  1.096478196143e+00  5.000000000000e+00  2.463207869658e-02  4.909370585520e+00  
  1.099005839433e+00  5.000000000000e+00  2.463236884910e-02  4.909370576954e+00  
  1.101539309541e+00  5.000000000000e+00  2.463266033746e-02  4.909370568349e+00  
  1.104078619902e+00  5.000000000000e+00  2.463295316779e-02  4.909370559703e+00  
  1.106623783978e+00  5.000000000000e+00  2.463324734626e-02  4.909370551018e+00  
  1.109174815262e+00  5.000000000000e+00  2.463354287905e-02  4.909370542293e+00  
  1.111731727282e+00  5.000000000000e+00  2.463383977239e-02  4.909370533527e+00  
  1.114294533592e+00  5.000000000000e+00  2.463413803252e-02  4.909370524721e+00  
  1.116863247781e+00  5.000000000000e+00  2.463443766572e-02  4.909370515875e+00  
  1.119437883467e+00  5.000000000000e+00  2.463473867829e-02  4.909370506987e+00  
  1.122018454302e+00  5.000000000000e+00  2.463504107657e-02  4.909370498059e+00  
  1.124604973967e+00  5.000000000000e+00  2.463534486691e-02  4.909370489089e+00  
  1.127197456176e+00  5.000000000000e+00  2.463565005571e-02  4.909370480078e+00  
  1.129795914673e+00  5.000000000000e+00  2.463595664939e-02  4.909370471025e+00  
  1.132400363236e+00  5.000000000000e+00  2.463626465440e-02  4.909370461931e+00  
  1.135010815672e+00  5.000000000000e+00  2.463657407722e-02  4.909370452794e+00  
  1.137627285823e+00  5.000000000000e+00  2.463688492435e-02  4.909370443616e+00  
  1.140249787561e+00  5.000000000000e+00  2.463719720233e-02  4.909370434395e+00  
  1.142878334790e+00  5.000000000000e+00  2.463751091773e-02  4.909370425131e+00  
  1.145512941446e+00  5.000000000000e+00  2.463782607716e-02  4.909370415825e+00  
  1.148153621497e+00  5.000000000000e+00  2.463814268723e-02  4.909370406476e+00  
  1.150800388944e+00  5.000000000000e+00  2.463846075461e-02  4.909370397083e+00  
  1.153453257821e+00  5.000000000000e+00  2.463878028599e-02  4.909370387647e+00  
  1.156112242192e+00  5.000000000000e+00  2.463910128808e-02  4.909370378168e+00  
  1.158777356155e+00  5.000000000000e+00  2.463942376763e-02  4.909370368645e+00  
  1.161448613840e+00  5.000000000000e+00  2.463974773144e-02  4.909370359078e+00  
  1.164126029410e+00  5.000000000000e+00  2.464007318629e-02  4.909370349467e+00  
  1.166809617061e+00  5.000000000000e+00  2.464040013905e-02  4.909370339811e+00  
  1.169499391020e+00  5.000000000000e+00  2.464072859659e-02  4.909370330111e+00  
  1.172195365548e+00  5.000000000000e+00  2.464105856580e-02  4.909370320366e+00  
  1.174897554940e+00  5.000000000000e+00  2.464139005363e-02  4.909370310576e+00  
  1.177605973521e+00  5.000000000000e+00  2.464172306704e-02  4.909370300741e+00  
  1.180320635652e+00  5.000000000000e+00  2.464205761304e-02  4.909370290861e+00  
  1.183041555725e+00  5.000000000000e+00  2.464239369866e-02  4.909370280935e+00  
  1.185768748167e+00  5.000000000000e+00  2.464273133096e-02  4.909370270963e+00  
  1.188502227437e+00  5.000000000000e+00  2.464307051705e-02  4.909370260945e+00  
  1.191242008027e+00  5.000000000000e+00  2.464341126403e-02  4.909370250881e+00  
  1.193988104464e+00  5.000000000000e+00  2.464375357909e-02  4.909370240770e+00  
