  Frequency             V(V4:+,V4:-)          V(R2:1,V4:-)          V(R2:2,V3:-)         
  1.000000000000e+00  8.500000000000e+00  4.185655151081e-02  8.345930526147e+00  
  1.002305238078e+00  8.500000000000e+00  4.185696196278e-02  8.345930514034e+00  
  1.004615790278e+00  8.500000000000e+00  4.185737430526e-02  8.345930501866e+00  
  1.006931668852e+00  8.500000000000e+00  4.185778854692e-02  8.345930489642e+00  
  1.009252886077e+00  8.500000000000e+00  4.185820469651e-02  8.345930477361e+00  
  1.011579454260e+00  8.500000000000e+00  4.185862276280e-02  8.345930465024e+00  
  1.013911385737e+00  8.500000000000e+00  4.185904275458e-02  8.345930452629e+00  
  1.016248692871e+00  8.500000000000e+00  4.185946468071e-02  8.345930440177e+00  
  1.018591388054e+00  8.500000000000e+00  4.185988855007e-02  8.345930427668e+00  
  1.020939483708e+00  8.500000000000e+00  4.186031437161e-02  8.345930415102e+00  
  1.023292992281e+00  8.500000000000e+00  4.186074215428e-02  8.345930402477e+00  
  1.025651926251e+00  8.500000000000e+00  4.186117190710e-02  8.345930389794e+00  
  1.028016298126e+00  8.500000000000e+00  4.186160363913e-02  8.345930377052e+00  
  1.030386120442e+00  8.500000000000e+00  4.186203735946e-02  8.345930364251e+00  
  1.032761405761e+00  8.500000000000e+00  4.186247307722e-02  8.345930351392e+00  
  1.035142166679e+00  8.500000000000e+00  4.186291080159e-02  8.345930338473e+00  
  1.037528415818e+00  8.500000000000e+00  4.186335054180e-02  8.345930325494e+00  
  1.039920165829e+00  8.500000000000e+00  4.186379230710e-02  8.345930312456e+00  
  1.042317429393e+00  8.500000000000e+00  4.186423610680e-02  8.345930299357e+00  
  1.044720219221e+00  8.500000000000e+00  4.186468195024e-02  8.345930286198e+00  
  1.047128548051e+00  8.500000000000e+00  4.186512984683e-02  8.345930272978e+00  
  1.049542428652e+00  8.500000000000e+00  4.186557980598e-02  8.345930259697e+00  
  1.051961873823e+00  8.500000000000e+00  4.186603183717e-02  8.345930246355e+00  
  1.054386896391e+00  8.500000000000e+00  4.186648594993e-02  8.345930232951e+00  
  1.056817509214e+00  8.500000000000e+00  4.186694215382e-02  8.345930219486e+00  
  1.059253725177e+00  8.500000000000e+00  4.186740045844e-02  8.345930205958e+00  
  1.061695557199e+00  8.500000000000e+00  4.186786087344e-02  8.345930192368e+00  
  1.064143018224e+00  8.500000000000e+00  4.186832340852e-02  8.345930178715e+00  
  1.066596121230e+00  8.500000000000e+00  4.186878807342e-02  8.345930164999e+00  
  1.069054879223e+00  8.500000000000e+00  4.186925487792e-02  8.345930151219e+00  
  1.071519305238e+00  8.500000000000e+00  4.186972383184e-02  8.345930137377e+00  
  1.073989412341e+00  8.500000000000e+00  4.187019494507e-02  8.345930123470e+00  
  1.076465213630e+00  8.500000000000e+00  4.187066822751e-02  8.345930109499e+00  
  1.078946722230e+00  8.500000000000e+00  4.187114368914e-02  8.345930095463e+00  
  1.081433951298e+00  8.500000000000e+00  4.187162133996e-02  8.345930081363e+00  
  1.083926914021e+00  8.500000000000e+00  4.187210119003e-02  8.345930067198e+00  
  1.086425623617e+00  8.500000000000e+00  4.187258324944e-02  8.345930052967e+00  
  1.088930093333e+00  8.500000000000e+00  4.187306752835e-02  8.345930038671e+00  
  1.091440336449e+00  8.500000000000e+00  4.187355403694e-02  8.345930024308e+00  
  1.093956366272e+00  8.500000000000e+00  4.187404278546e-02  8.345930009880e+00  
  1.096478196143e+00  8.500000000000e+00  4.187453378419e-02  8.345929995384e+00  
  1.099005839433e+00  8.500000000000e+00  4.187502704347e-02  8.345929980822e+00  
  1.101539309541e+00  8.500000000000e+00  4.187552257368e-02  8.345929966193e+00  
  1.104078619902e+00  8.500000000000e+00  4.187602038524e-02  8.345929951496e+00  
  1.106623783978e+00  8.500000000000e+00  4.187652048864e-02  8.345929936731e+00  
  1.109174815262e+00  8.500000000000e+00  4.187702289439e-02  8.345929921898e+00  
  1.111731727282e+00  8.500000000000e+00  4.187752761306e-02  8.345929906997e+00  
  1.114294533592e+00  8.500000000000e+00  4.187803465528e-02  8.345929892026e+00  
  1.116863247781e+00  8.500000000000e+00  4.187854403172e-02  8.345929876987e+00  
  1.119437883467e+00  8.500000000000e+00  4.187905575310e-02  8.345929861878e+00  
  1.122018454302e+00  8.500000000000e+00  4.187956983017e-02  8.345929846700e+00  
  1.124604973967e+00  8.500000000000e+00  4.188008627375e-02  8.345929831452e+00  
  1.127197456176e+00  8.500000000000e+00  4.188060509471e-02  8.345929816133e+00  
  1.129795914673e+00  8.500000000000e+00  4.188112630397e-02  8.345929800743e+00  
  1.132400363236e+00  8.500000000000e+00  4.188164991248e-02  8.345929785282e+00  
  1.135010815672e+00  8.500000000000e+00  4.188217593127e-02  8.345929769751e+00  
  1.137627285823e+00  8.500000000000e+00  4.188270437139e-02  8.345929754147e+00  
  1.140249787561e+00  8.500000000000e+00  4.188323524396e-02  8.345929738471e+00  
  1.142878334790e+00  8.500000000000e+00  4.188376856015e-02  8.345929722723e+00  
  1.145512941446e+00  8.500000000000e+00  4.188430433117e-02  8.345929706902e+00  
  1.148153621497e+00  8.500000000000e+00  4.188484256830e-02  8.345929691009e+00  
  1.150800388944e+00  8.500000000000e+00  4.188538328284e-02  8.345929675041e+00  
  1.153453257821e+00  8.500000000000e+00  4.188592648618e-02  8.345929659001e+00  
  1.156112242192e+00  8.500000000000e+00  4.188647218973e-02  8.345929642886e+00  
  1.158777356155e+00  8.500000000000e+00  4.188702040498e-02  8.345929626697e+00  
  1.161448613840e+00  8.500000000000e+00  4.188757114344e-02  8.345929610433e+00  
  1.164126029410e+00  8.500000000000e+00  4.188812441670e-02  8.345929594094e+00  
  1.166809617061e+00  8.500000000000e+00  4.188868023639e-02  8.345929577679e+00  
  1.169499391020e+00  8.500000000000e+00  4.188923861419e-02  8.345929561189e+00  
  1.172195365548e+00  8.500000000000e+00  4.188979956186e-02  8.345929544622e+00  
  1.174897554940e+00  8.500000000000e+00  4.189036309117e-02  8.345929527980e+00  
  1.177605973521e+00  8.500000000000e+00  4.189092921397e-02  8.345929511260e+00  
  1.180320635652e+00  8.500000000000e+00  4.189149794217e-02  8.345929494463e+00  
  1.183041555725e+00  8.500000000000e+00  4.189206928773e-02  8.345929477589e+00  
  1.185768748167e+00  8.500000000000e+00  4.189264326264e-02  8.345929460637e+00  
  1.188502227437e+00  8.500000000000e+00  4.189321987898e-02  8.345929443606e+00  
  1.191242008027e+00  8.500000000000e+00  4.189379914886e-02  8.345929426497e+00  
  1.193988104464e+00  8.500000000000e+00  4.189438108446e-02  8.345929409309e+00  
  1.196740531307e+00  8.500000000000e+00  4.189496569801e-02  8.345929392042e+00  
  1.199499303149e+00  8.500000000000e+00  4.189555300179e-02  8.345929374695e+00  
  1.202264434617e+00  8.500000000000e+00  4.189614300815e-02  8.345929357267e+00  
  1.205035940372e+00  8.500000000000e+00  4.189673572948e-02  8.345929339760e+00  
  1.207813835107e+00  8.500000000000e+00  4.189733117824e-02  8.345929322171e+00  
  1.210598133550e+00  8.500000000000e+00  4.189792936695e-02  8.345929304502e+00  
  1.213388850465e+00  8.500000000000e+00  4.189853030816e-02  8.345929286751e+00  
  1.216186000646e+00  8.500000000000e+00  4.189913401450e-02  8.345929268918e+00  
  1.218989598925e+00  8.500000000000e+00  4.189974049867e-02  8.345929251002e+00  
  1.221799660165e+00  8.500000000000e+00  4.190034977339e-02  8.345929233004e+00  
  1.224616199265e+00  8.500000000000e+00  4.190096185147e-02  8.345929214923e+00  
  1.227439231158e+00  8.500000000000e+00  4.190157674577e-02  8.345929196758e+00  
  1.230268770812e+00  8.500000000000e+00  4.190219446920e-02  8.345929178510e+00  
  1.233104833229e+00  8.500000000000e+00  4.190281503473e-02  8.345929160177e+00  
  1.235947433445e+00  8.500000000000e+00  4.190343845541e-02  8.345929141760e+00  
  1.238796586530e+00  8.500000000000e+00  4.190406474432e-02  8.345929123257e+00  
  1.241652307592e+00  8.500000000000e+00  4.190469391462e-02  8.345929104670e+00  
  1.244514611771e+00  8.500000000000e+00  4.190532597952e-02  8.345929085996e+00  
  1.247383514243e+00  8.500000000000e+00  4.190596095229e-02  8.345929067236e+00  
  1.250259030218e+00  8.500000000000e+00  4.190659884628e-02  8.345929048390e+00  
  1.253141174941e+00  8.500000000000e+00  4.190723967486e-02  8.345929029457e+00  
  1.256029963695e+00  8.500000000000e+00  4.190788345150e-02  8.345929010436e+00  
  1.258925411794e+00  8.500000000000e+00  4.190853018971e-02  8.345928991328e+00  
  1.261827534591e+00  8.500000000000e+00  4.190917990308e-02  8.345928972131e+00  
  1.264736347471e+00  8.500000000000e+00  4.190983260524e-02  8.345928952845e+00  
  1.267651865858e+00  8.500000000000e+00  4.191048830989e-02  8.345928933471e+00  
  1.270574105209e+00  8.500000000000e+00  4.191114703081e-02  8.345928914007e+00  
  1.273503081017e+00  8.500000000000e+00  4.191180878181e-02  8.345928894454e+00  
  1.276438808811e+00  8.500000000000e+00  4.191247357678e-02  8.345928874810e+00  
  1.279381304158e+00  8.500000000000e+00  4.191314142969e-02  8.345928855075e+00  
  1.282330582656e+00  8.500000000000e+00  4.191381235454e-02  8.345928835250e+00  
  1.285286659944e+00  8.500000000000e+00  4.191448636542e-02  8.345928815333e+00  
  1.288249551693e+00  8.500000000000e+00  4.191516347648e-02  8.345928795324e+00  
  1.291219273614e+00  8.500000000000e+00  4.191584370192e-02  8.345928775222e+00  
  1.294195841450e+00  8.500000000000e+00  4.191652705601e-02  8.345928755028e+00  
  1.297179270984e+00  8.500000000000e+00  4.191721355310e-02  8.345928734741e+00  
  1.300169578033e+00  8.500000000000e+00  4.191790320759e-02  8.345928714360e+00  
  1.303166778452e+00  8.500000000000e+00  4.191859603394e-02  8.345928693884e+00  
  1.306170888132e+00  8.500000000000e+00  4.191929204670e-02  8.345928673315e+00  
  1.309181922999e+00  8.500000000000e+00  4.191999126047e-02  8.345928652650e+00  
  1.312199899019e+00  8.500000000000e+00  4.192069368991e-02  8.345928631890e+00  
  1.315224832192e+00  8.500000000000e+00  4.192139934976e-02  8.345928611034e+00  
  1.318256738556e+00  8.500000000000e+00  4.192210825481e-02  8.345928590082e+00  
  1.321295634187e+00  8.500000000000e+00  4.192282041995e-02  8.345928569034e+00  
  1.324341535195e+00  8.500000000000e+00  4.192353586011e-02  8.345928547888e+00  
  1.327394457730e+00  8.500000000000e+00  4.192425459028e-02  8.345928526644e+00  
  1.330454417978e+00  8.500000000000e+00  4.192497662555e-02  8.345928505303e+00  
  1.333521432163e+00  8.500000000000e+00  4.192570198105e-02  8.345928483863e+00  
  1.336595516546e+00  8.500000000000e+00  4.192643067200e-02  8.345928462324e+00  
  1.339676687426e+00  8.500000000000e+00  4.192716271367e-02  8.345928440685e+00  
  1.342764961138e+00  8.500000000000e+00  4.192789812142e-02  8.345928418947e+00  
  1.345860354056e+00  8.500000000000e+00  4.192863691066e-02  8.345928397108e+00  
  1.348962882592e+00  8.500000000000e+00  4.192937909688e-02  8.345928375169e+00  
