depth[m]	temp[K]
0.000000e+00	0.000000e+00
-9.775171e-01	0.000000e+00
-1.955034e+00	0.000000e+00
-2.932551e+00	0.000000e+00
-3.910068e+00	0.000000e+00
-4.887586e+00	0.000000e+00
-5.865103e+00	0.000000e+00
-6.842620e+00	0.000000e+00
-7.820137e+00	0.000000e+00
-8.797654e+00	0.000000e+00
-9.775171e+00	0.000000e+00
-1.075269e+01	0.000000e+00
-1.173021e+01	0.000000e+00
-1.270772e+01	0.000000e+00
-1.368524e+01	0.000000e+00
-1.466276e+01	0.000000e+00
-1.564027e+01	0.000000e+00
-1.661779e+01	0.000000e+00
-1.759531e+01	0.000000e+00
-1.857283e+01	0.000000e+00
-1.955034e+01	0.000000e+00
-2.052786e+01	0.000000e+00
-2.150538e+01	0.000000e+00
-2.248289e+01	0.000000e+00
-2.346041e+01	0.000000e+00
-2.443793e+01	0.000000e+00
-2.541544e+01	0.000000e+00
-2.639296e+01	0.000000e+00
-2.737048e+01	0.000000e+00
-2.834800e+01	0.000000e+00
-2.932551e+01	0.000000e+00
-3.030303e+01	0.000000e+00
-3.128055e+01	0.000000e+00
-3.225806e+01	0.000000e+00
-3.323558e+01	0.000000e+00
-3.421310e+01	0.000000e+00
-3.519062e+01	0.000000e+00
-3.616813e+01	0.000000e+00
-3.714565e+01	0.000000e+00
-3.812317e+01	0.000000e+00
-3.910068e+01	0.000000e+00
-4.007820e+01	0.000000e+00
-4.105572e+01	0.000000e+00
-4.203324e+01	0.000000e+00
-4.301075e+01	0.000000e+00
-4.398827e+01	0.000000e+00
-4.496579e+01	0.000000e+00
-4.594330e+01	0.000000e+00
-4.692082e+01	0.000000e+00
-4.789834e+01	0.000000e+00
-4.887586e+01	0.000000e+00
-4.985337e+01	0.000000e+00
-5.083089e+01	0.000000e+00
-5.180841e+01	0.000000e+00
-5.278592e+01	0.000000e+00
-5.376344e+01	0.000000e+00
-5.474096e+01	0.000000e+00
-5.571848e+01	0.000000e+00
-5.669599e+01	0.000000e+00
-5.767351e+01	0.000000e+00
-5.865103e+01	0.000000e+00
-5.962854e+01	0.000000e+00
-6.060606e+01	0.000000e+00
-6.158358e+01	0.000000e+00
-6.256109e+01	0.000000e+00
-6.353861e+01	0.000000e+00
-6.451613e+01	0.000000e+00
-6.549365e+01	0.000000e+00
-6.647116e+01	0.000000e+00
-6.744868e+01	0.000000e+00
-6.842620e+01	0.000000e+00
-6.940371e+01	0.000000e+00
-7.038123e+01	0.000000e+00
-7.135875e+01	0.000000e+00
-7.233627e+01	0.000000e+00
-7.331378e+01	0.000000e+00
-7.429130e+01	0.000000e+00
-7.526882e+01	0.000000e+00
-7.624633e+01	0.000000e+00
-7.722385e+01	0.000000e+00
-7.820137e+01	0.000000e+00
-7.917889e+01	0.000000e+00
-8.015640e+01	0.000000e+00
-8.113392e+01	0.000000e+00
-8.211144e+01	0.000000e+00
-8.308895e+01	0.000000e+00
-8.406647e+01	0.000000e+00
-8.504399e+01	0.000000e+00
-8.602151e+01	0.000000e+00
-8.699902e+01	0.000000e+00
-8.797654e+01	0.000000e+00
-8.895406e+01	0.000000e+00
-8.993157e+01	0.000000e+00
-9.090909e+01	0.000000e+00
-9.188661e+01	0.000000e+00
-9.286413e+01	0.000000e+00
-9.384164e+01	0.000000e+00
-9.481916e+01	0.000000e+00
-9.579668e+01	0.000000e+00
-9.677419e+01	0.000000e+00
-9.775171e+01	0.000000e+00
-9.872923e+01	0.000000e+00
-9.970674e+01	0.000000e+00
-1.006843e+02	0.000000e+00
-1.016618e+02	0.000000e+00
-1.026393e+02	0.000000e+00
-1.036168e+02	0.000000e+00
-1.045943e+02	0.000000e+00
-1.055718e+02	0.000000e+00
-1.065494e+02	0.000000e+00
-1.075269e+02	0.000000e+00
-1.085044e+02	0.000000e+00
-1.094819e+02	0.000000e+00
-1.104594e+02	0.000000e+00
-1.114370e+02	0.000000e+00
-1.124145e+02	0.000000e+00
-1.133920e+02	0.000000e+00
-1.143695e+02	0.000000e+00
-1.153470e+02	0.000000e+00
-1.163245e+02	0.000000e+00
-1.173021e+02	0.000000e+00
-1.182796e+02	0.000000e+00
-1.192571e+02	0.000000e+00
-1.202346e+02	0.000000e+00
-1.212121e+02	0.000000e+00
-1.221896e+02	0.000000e+00
-1.231672e+02	0.000000e+00
-1.241447e+02	0.000000e+00
-1.251222e+02	0.000000e+00
-1.260997e+02	0.000000e+00
-1.270772e+02	0.000000e+00
-1.280547e+02	0.000000e+00
-1.290323e+02	0.000000e+00
-1.300098e+02	0.000000e+00
-1.309873e+02	0.000000e+00
-1.319648e+02	0.000000e+00
-1.329423e+02	0.000000e+00
-1.339198e+02	0.000000e+00
-1.348974e+02	0.000000e+00
-1.358749e+02	0.000000e+00
-1.368524e+02	0.000000e+00
-1.378299e+02	0.000000e+00
-1.388074e+02	0.000000e+00
-1.397849e+02	0.000000e+00
-1.407625e+02	0.000000e+00
-1.417400e+02	0.000000e+00
-1.427175e+02	0.000000e+00
-1.436950e+02	0.000000e+00
-1.446725e+02	0.000000e+00
-1.456500e+02	0.000000e+00
-1.466276e+02	0.000000e+00
-1.476051e+02	0.000000e+00
-1.485826e+02	0.000000e+00
-1.495601e+02	0.000000e+00
-1.505376e+02	0.000000e+00
-1.515152e+02	0.000000e+00
-1.524927e+02	0.000000e+00
-1.534702e+02	0.000000e+00
-1.544477e+02	0.000000e+00
-1.554252e+02	0.000000e+00
-1.564027e+02	0.000000e+00
-1.573803e+02	0.000000e+00
-1.583578e+02	0.000000e+00
-1.593353e+02	0.000000e+00
-1.603128e+02	0.000000e+00
-1.612903e+02	0.000000e+00
-1.622678e+02	0.000000e+00
-1.632454e+02	0.000000e+00
-1.642229e+02	0.000000e+00
-1.652004e+02	0.000000e+00
-1.661779e+02	0.000000e+00
-1.671554e+02	0.000000e+00
-1.681329e+02	0.000000e+00
-1.691105e+02	0.000000e+00
-1.700880e+02	0.000000e+00
-1.710655e+02	0.000000e+00
-1.720430e+02	0.000000e+00
-1.730205e+02	0.000000e+00
-1.739980e+02	0.000000e+00
-1.749756e+02	0.000000e+00
-1.759531e+02	0.000000e+00
-1.769306e+02	0.000000e+00
-1.779081e+02	0.000000e+00
-1.788856e+02	0.000000e+00
-1.798631e+02	0.000000e+00
-1.808407e+02	0.000000e+00
-1.818182e+02	0.000000e+00
-1.827957e+02	0.000000e+00
-1.837732e+02	0.000000e+00
-1.847507e+02	0.000000e+00
-1.857283e+02	0.000000e+00
-1.867058e+02	0.000000e+00
-1.876833e+02	0.000000e+00
-1.886608e+02	0.000000e+00
-1.896383e+02	0.000000e+00
-1.906158e+02	0.000000e+00
-1.915934e+02	0.000000e+00
-1.925709e+02	0.000000e+00
-1.935484e+02	0.000000e+00
-1.945259e+02	0.000000e+00
-1.955034e+02	0.000000e+00
-1.964809e+02	0.000000e+00
-1.974585e+02	0.000000e+00
-1.984360e+02	0.000000e+00
-1.994135e+02	0.000000e+00
-2.003910e+02	0.000000e+00
-2.013685e+02	0.000000e+00
-2.023460e+02	0.000000e+00
-2.033236e+02	0.000000e+00
-2.043011e+02	0.000000e+00
-2.052786e+02	0.000000e+00
-2.062561e+02	0.000000e+00
-2.072336e+02	0.000000e+00
-2.082111e+02	0.000000e+00
-2.091887e+02	0.000000e+00
-2.101662e+02	0.000000e+00
-2.111437e+02	0.000000e+00
-2.121212e+02	0.000000e+00
-2.130987e+02	0.000000e+00
-2.140762e+02	0.000000e+00
-2.150538e+02	0.000000e+00
-2.160313e+02	0.000000e+00
-2.170088e+02	0.000000e+00
-2.179863e+02	0.000000e+00
-2.189638e+02	0.000000e+00
-2.199413e+02	0.000000e+00
-2.209189e+02	0.000000e+00
-2.218964e+02	0.000000e+00
-2.228739e+02	0.000000e+00
-2.238514e+02	0.000000e+00
-2.248289e+02	0.000000e+00
-2.258065e+02	0.000000e+00
-2.267840e+02	0.000000e+00
-2.277615e+02	0.000000e+00
-2.287390e+02	0.000000e+00
-2.297165e+02	0.000000e+00
-2.306940e+02	0.000000e+00
-2.316716e+02	0.000000e+00
-2.326491e+02	0.000000e+00
-2.336266e+02	0.000000e+00
-2.346041e+02	0.000000e+00
-2.355816e+02	0.000000e+00
-2.365591e+02	0.000000e+00
-2.375367e+02	0.000000e+00
-2.385142e+02	0.000000e+00
-2.394917e+02	0.000000e+00
-2.404692e+02	0.000000e+00
-2.414467e+02	0.000000e+00
-2.424242e+02	0.000000e+00
-2.434018e+02	0.000000e+00
-2.443793e+02	0.000000e+00
-2.453568e+02	0.000000e+00
-2.463343e+02	0.000000e+00
-2.473118e+02	0.000000e+00
