Fra	Times	Years	Res	K	Imp[s]	Exp[s]	
1	1	1	128	2e-6	0.0199	0.0001	 
1	1	1	256	2e-6	0.0065	0.0001	 
1	1	1	512	2e-6	0.0059	0.0001	 
1 	1	1	1024	2e-6	0.0379	0.0029	 
1	10	1	128	2e-6	0.0001	0.0001	 
1	100	1	128	2e-6	0.0001	0.0001	 
1	1000	1	128	2e-6	0.0039	0.0029	 
1	10000	1	128	2e-6	0.0041	0.0045	 
1	10	1	256	2e-6	0.0001	0.0001	 
1	100	1	256	2e-6	0.0019	0.0009	 
1 	1000	1	256	2e-6	0.0069	0.0039	 
1	10000	1	256	2e-6	0.0728	0.0848	 
1	10	1	512	2e-6	0.0059	0.0009	 
1	100	1	512	2e-6	0.0069	0.0019	 
1	1000	1	512	2e-6	0.0209	0.0209	 
1	10000	1	512	2e-6	0.1994	0.1825	 
1	10	1	1024	2e-6	0.0418	0.0050	 
1	100	1	1024	2e-6	0.0568	0.0199	 
1	1000	1	1024	2e-6	0.1875	0.1600	 
1	10000	1	1024	2e-6	1.7145	1.8000	 
10	10	1	128	2e-6	0.0009	0.0009	 
10	100	1	128	2e-6	0.0049	0.0069	 
10	1000	1	128	2e-6	0.0423	0.0398	 
10	10	1	256	2e-6	0.0020	0.0009	 
10	100	1	256	2e-6	0.0084	0.0059	 
10	1000	1	256	2e-6	0.0677	0.0708	 
10	10	1	512	2e-6	0.0069	0.0019	 
10	100	1	512	2e-6	0.0199	0.0209	 
10	1000	1	512	2e-6	0.1944	0.2772	 
10	10	1	1024	2e-6	0.0588	0.0169	 
10	100	1	1024	2e-6	0.2054	0.1560	 
10	1000	1	1024	2e-6	1.7877	0.1654	 
10	1000	1	2048	2e-6	13.395	11.847	 
100	10	1	128	2e-6	0.0090	0.0069	 
100	100	1	128	2e-6	0.0498	0.0498	 
100	1000	1	128	2e-6	0.3975	0.4253	 
100	10	1	256	2e-6	0.0089	0.0079	 
100	100	1	256	2e-6	0.0802	0.0708	 
100	1000	1	256	2e-6	1.1080	0.7359	 
100	10	1	512	2e-6	0.0219	0.0179	  
100	100	1	512	2e-6	0.1874	0.2084	 
100	1000	1	512	2e-6	4.2641	1.8817	 
100	10	1	1024	2e-6	0.1854	0.1674	 
100	100	1	1024	2e-6	1.9849	0.1726	 
100	1000	1	1024	2e-6	21.414	18.688	 
100	1000	2	1024	2e-6	43.538	35.167	 
100	1000	3	1024	2e-6	76.163	74.458	 
100	2000	1	1024	2e-6	61.461	37.328	 
100	2000	2	1024	2e-6	93.248	72.553
100	2000	3	1024	2e-6	127.61	63.656



	
